nome,formula,Unidade,Abreviacao,Norma,Secao,Consideracoes
RaioGiracaoCentroTorcao,(RaioGiracaoX**2 + RaioGiracaoY**2 + DistanciaTorcaoCentroideX**2 + DistanciaTorcaoCentroideY**2)**0.5,,r0,ABNT NBR 14762:2010,9.7.2.1 ,raio de giração polar da seção bruta em relação ao centro de torção
CargaCriticaFlambagemX,((Pi**2) * ModuloElasticidade * MomentoInerciaX)/(RigidezSentidoX * ComprimentoLivreLongarinaX)*2,,Nex,ABNT NBR 14762:2010,9.7.2.1 ,Carga Crítica de flambagem (eixo x)
CargaCriticaFlambagemY,((Pi**2) * ModuloElasticidade * MomentoInerciaY)/(RigidezSentidoY * ComprimentoLivreLongarinaY)**2,,Ney,ABNT NBR 14762:2010,9.7.2.1 ,Carga Crítica de flambagem (eixo y)
CargaCriticaFlambagemZ,(1/(RaioGiracaoCentroTorcao**2)) * ((((Pi**2) * ModuloElasticidade * ConstanteEmpenamentoSecaoTransversal) / ((RigidezSentidoZ * ComprimentoLivreLongarinaZ)**2)) + (ModuloCisalhamento + ConstanteTorcao)),,Nez,ABNT NBR 14762:2010,9.7.2.1 ,Carga Crítica de flambagem (eixo z)
CargaCriticaFlambagemDuplaSimetria,CargaCriticaFlambagemZ,,Ne,ABNT NBR 14762:2010,9.7.2.1 ,Carga Crítica de Flambagem para perfil com dupla simetria ou simetrico em relação a um ponto
CargaCriticaFlambagemMonossimetrico,((CargaCriticaFlambagemX + CargaCriticaFlambagemZ)/(2 * (1 - ((DistanciaTorcaoCentroideX - RaioGiracaoCentroTorcao)**2)))) * (1-(1-((4 * CargaCriticaFlambagemX * CargaCriticaFlambagemZ * (1 - ((DistanciaTorcaoCentroideX/RaioGiracaoCentroTorcao)**2)))/((CargaCriticaFlambagemX + CargaCriticaFlambagemZ)**2))**0.5)),,Ne,ABNT NBR 14762:2010,9.7.2.1 ,Carga Crítica de Flambagem para perfil monossimétrico
CargaCriticaFlambagemAssimetrico,(((RaioGiracaoCentroTorcao**2) * (X - CargaCriticaFlambagemX) * (X - CargaCriticaFlambagemY) * (X - CargaCriticaFlambagemZ)) - ((X**2) * (X - CargaCriticaFlambagemY) * DistanciaTorcaoCentroideX**2) - ((X**2) * (X - CargaCriticaFlambagemX) * DistanciaTorcaoCentroideY**2)) = 0,,Ne,ABNT NBR 14762:2010,9.7.2.1 ,Carga Crítica de Flambagem para Perfil Assimétrico
CargaCriticaFlambagem, CargaCriticaFlambagemDuplaSimetria if Simetria == 'Dupla Simetria' else CargaCriticaFlambagemDuplaSimetria if Simetria == 'Simetria em Um Ponto' else CargaCriticaFlambagemMonossimetrico if Simetria == 'Monossimetrico' else CargaCriticaFlambagemAssimetrico if Simetria == 'Assimetrico' else 0,,Ne,ABNT NBR 14762:2010,9.7.2.1 ,Carga Crítica de Flambagem
MomentoCriticoFlambagemSecaoFechada,(FatorMomentoFletorFlexaoSimples * ((CargaCriticaFlambagemY * ModuloCisalhamento * ConstanteTorcao)**0.5)),,Me,ABNT NBR 14762:2010,9.8.2.2,Momento Crítico de Flambagem Para Barras Com Seção Fechada
MomentoCriticoFlambagemPontoSimetrica,(0.5 * FatorMomentoFletorFlexaoSimples * RaioGiracaoCentroTorcao * ((CargaCriticaFlambagemY * CargaCriticaFlambagemZ)**0.5)),,Me,ABNT NBR 14762:2010,9.8.2.2,Momento Crítico de Flambagem Para Barras Com Seção Z Ponto Simétricas
