Perfil,PesoLinear,AreaSecaoTransversal,Espessura,MomentoInerciaX,RaioGiracaoX,DistanciaTorcaoCentroideX,MomentoInerciaY,ModuloResistenciaElasticoSecaoX,RaioGiracaoY,DistanciaTorcaoCentroideY,LarguraNominalAlma,LarguraNominalMesa,ConstanteTorcao,ConstanteEmpenamentoSecaoTransversal,Altura,RigidezConectorColunaLongarina,Simetria,Secao
CAD 48 #1.50mm,1.21361,154.6,1.5,58429,19.44,20.12,14377,2434.5,10.093,15.492,48,30,115.95,5247170,2800,10000000,Assimetrica,Aberta
CAD 48 #2.00mm,1.803145,229.7,2,62191,16.45,23.83,23085,3118.5,10.03,14.62,48,30,324.93,18947558,2800,10000000,Assimetrica,Aberta
CAD 70 #1.50mm,1.7325735,220.71,1.5,106291,24.53,21.63,19820,3780.1,10.063,15.257,70,30,140.7,13049600,2800,10000000,Assimetrica,Aberta
CAD 70 #2.00mm,2.148545,273.7,2,161898,24.32,21.3,27843,4205.8,9.84,14.27,70,30,383.6,33956256,2800,10000000,Assimetrica,Aberta
H2 42X128 #2.00mm,6.324745,805.7,2,1826635,47.615,1.211,246008,28537,17.474,0.058,126,40,612086.747,323415488,2200,25000000,Dupla Simetria,Fechada
H2 42X168 #2.00mm,7.504443,955.98,2,3487758,60.4,0,307003,41521,17.92,0,166,40,856108.7379,572724096,2200,25000000,Dupla Simetria,Fechada
H2 42X178 #2.00mm,7.831945,997.7,2,4040247,63.636,0,316835,45396,17.82,0,176,40,917807.4074,466773312,2200,25000000,Dupla Simetria,Fechada
H2 50X212 #2.00mm,9.401945,1197.7,2,6955857,76.21,0,545942,65621,21.35,0,210,48,1575293.023,1676700000,2200,25000000,Dupla Simetria,Fechada
H2 50X212 #2.25mm,10.548045,1343.7,2.25,7774967,76.07,0,611323,73262,21.33,0,210,48,1772204.651,1863300000,2200,25000000,Dupla Simetria,Fechada
H2 50X212 #2.65mm,12.36846,1575.6,2.65,9062753,75.84,0,714657,85236,106.32,0,210,48,2087263.256,2151400000,2200,25000000,Dupla Simetria,Fechada
H5 42x112 #1.5mm,3.5407425,451.05,1.5,700753,39.42,3.5,150218,12415,18.25,116.51,112,42,431057.4545,769342720,2200,25000000,Dupla Simetria,Fechada
H5 42x112 #2.0mm,4.651125,592.5,2,897684,38.92,3.15,192495,15987,18.02,115.46,112,42,574743.2727,959497984,2200,25000000,Dupla Simetria,Fechada
H5 42x83 #2.0mm,3.7622695,479.27,2,430341,29.97,2.87,146545,10261,17.5,86.93,83,42,388870.272,503403328,2200,25000000,Dupla Simetria,Fechada
H5 42x83 #1.5mm,2.866035,365.1,1.5,334373,30.263,3.143,114518,7959.5,17.71,87.541,83,42,291652.704,406533088,2200,25000000,Dupla Simetria,Fechada
H5 42x97 #1.5mm,3.195735,407.1,1.5,491268,34.74,2.96,131749,10017,17.99,101.68,97,42,358218.9065,572724096,2200,25000000,Dupla Simetria,Fechada
H5 42x97 #2.0mm,4.2042245,535.57,1.8,634352,34.43,2.7,169264,12955,17.78,101.06,97,42,429862.6878,711305600,2200,25000000,Dupla Simetria,Fechada
H5 50x105 #2.0mm,4.6964195,598.27,2,856409,37.83,2.49,268277,16199,21.18,110.19,105,50,711290.3226,1366900000,2200,25000000,Dupla Simetria,Fechada
H5 50x122 #1.5mm,3.9669975,505.35,1.5,957805,43.54,2.59,237731,15582,21.69,127.95,122,50,649011.6279,1516300000,2200,25000000,Dupla Simetria,Fechada
H5 50x122 #2.0mm,5.2380695,667.27,2,1244373,43.22,2.34,307468,20271,21.48,127.32,122,50,865348.8372,1906400000,2200,25000000,Dupla Simetria,Fechada
H5 50x138 #1.5mm,4.3414425,553.05,1.5,1302306,48.53,1.99,265997,18752,21.93,144.11,138,50,759734.0426,1971500000,2200,25000000,Dupla Simetria,Fechada
H5 50x138 #2.0mm,5.7451795,731.87,2,1703086,48.24,1.77,344411,24492,21.69,143.64,138,50,1012978.723,2565200000,2200,25000000,Dupla Simetria,Fechada
